Report [Date=6/1/13, Impressions=139,237, Clicks=37, Earning=227.21]
Report [Date=6/2/13, Impressions=149,582, Clicks=55, Earning=234.71]
Report [Date=6/3/13, Impressions=457,425, Clicks=132, Earning=211.48]
Report [Date=6/4/13, Impressions=466,87, Clicks=141, Earning=298.40]
Report [Date=6/5/13, Impressions=472,385, Clicks=194, Earning=281.35]
Report [Date=6/1/13, Impressions=139,237, Clicks=37, Earning=227.21]
Report [Date=6/2/13, Impressions=149,582, Clicks=55, Earning=234.71]
Report [Date=6/3/13, Impressions=457,425, Clicks=132, Earning=211.48]
Report [Date=6/4/13, Impressions=466,87, Clicks=141, Earning=298.40]
Report [Date=6/5/13, Impressions=472,385, Clicks=194, Earning=281.35]
Report [Date=6/1/13, Impressions=139,237, Clicks=37, Earning=227.21]
Report [Date=6/2/13, Impressions=149,582, Clicks=55, Earning=234.71]
Report [Date=6/3/13, Impressions=457,425, Clicks=132, Earning=211.48]
Report [Date=6/4/13, Impressions=466,87, Clicks=141, Earning=298.40]
Report [Date=6/5/13, Impressions=472,385, Clicks=194, Earning=281.35]
Report [Date=6/1/13, Impressions=139,237, Clicks=37, Earning=227.21]
Report [Date=6/2/13, Impressions=149,582, Clicks=55, Earning=234.71]
Report [Date=6/3/13, Impressions=457,425, Clicks=132, Earning=211.48]
Report [Date=6/4/13, Impressions=466,87, Clicks=141, Earning=298.40]
Report [Date=6/5/13, Impressions=472,385, Clicks=194, Earning=281.35]
Report [Date=6/1/13, Impressions=139,237, Clicks=37, Earning=227.21]
Report [Date=6/2/13, Impressions=149,582, Clicks=55, Earning=234.71]
Report [Date=6/3/13, Impressions=457,425, Clicks=132, Earning=211.48]
Report [Date=6/4/13, Impressions=466,87, Clicks=141, Earning=298.40]
Report [Date=6/5/13, Impressions=472,385, Clicks=194, Earning=281.35]
